Municipio;Densidade;Area;Populacao;NivelDensidade;CasosCovid19
Parnamirim (RN);1638,14;123,6;202474;Alto;32
Encanto (RN);41,6;125,7;5229;Médio;0
Equador (RN);21,97;265;5822;Baixo;0
Espírito Santo (RN);77,11;135,8;10472;Médio;0
Extremoz (RN);176,03;139,6;24574;Alto;5
Felipe Guerra (RN);21,35;268,6;5735;Baixo;0
Fernando Pedroza (RN);8,85;322,6;2855;Baixo;0
Florânia (RN);17,74;504,9;8957;Baixo;0
Francisco Dantas (RN);15,83;181,6;2875;Baixo;0
Frutuoso Gomes (RN);66,89;63,3;4234;Médio;0
Galinhos (RN);6,31;342,2;2159;Baixo;0
Goianinha (RN);116,92;192,3;22484;Alto;0
Governador Dix-Sept Rosado (RN);10,96;1129,3;12377;Baixo;0
Grossos (RN);74,28;126,5;9396;Médio;0
Guamaré (RN);47,9;259;12406;Médio;0
Ielmo Marinho (RN);39,01;312;12171;Médio;0
Ipanguaçu (RN);37,02;374,2;13853;Médio;0
Ipueira (RN);16,31;127,3;2076;Baixo;0
Itajá (RN);34,04;203,6;6931;Médio;0
Itaú (RN);41,83;133;5563;Médio;0
Jaçanã (RN);145,25;54,6;7931;Alto;0
Jandaíra (RN);15,6;435,9;6800;Baixo;0
Janduís (RN);17,53;304,9;5345;Baixo;0
Januário Cicco (RN);48,13;187,2;9010;Médio;0
Japi (RN);29,22;189;5523;Baixo;0
Jardim de Angicos (RN);10,26;254;2606;Baixo;0
Jardim de Piranhas (RN);40,86;330,5;13504;Médio;0
Jardim do Seridó (RN);32,86;368,6;12112;Médio;0
João Câmara (RN);45,08;715;32232;Médio;0
João Dias (RN);29,5;88,2;2602;Baixo;0
José da Penha (RN);49,88;117,6;5866;Médio;0
Jucurutu (RN);18,95;933,7;17694;Baixo;0
Jundiá (RN);80,24;44,6;3579;Médio;0
Lagoa d'Anta (RN);58,94;105,7;6230;Médio;0
Lagoa de Pedras (RN);59,4;117,7;6991;Médio;0
Lagoa de Velhos (RN);23,64;112,8;2667;Baixo;0
Lagoa Nova (RN);79,31;176,3;13982;Médio;0
Lagoa Salgada (RN);95,37;79,3;7563;Médio;0
Lajes (RN);15,34;676,6;10379;Baixo;0
Lajes Pintadas (RN);35,42;130,2;4612;Médio;0
Lucrécia (RN);117,45;30,9;3629;Alto;0
Luís Gomes (RN);57,67;166,6;9608;Médio;1
Macaíba (RN);136,01;510,8;69474;Alto;2
Macau (RN);36,74;788;28951;Médio;0
Major Sales (RN);110,6;32;3539;Alto;0
Marcelino Vieira (RN);23,91;345,7;8266;Baixo;0
Martins (RN);48,49;169,5;8219;Médio;0
Maxaranguape (RN);79,51;131,3;10440;Médio;0
Messias Targino (RN);31;135,1;4188;Médio;0
Montanhas (RN);138,82;82,2;11411;Alto;0
Monte Alegre (RN);97,87;211,3;20680;Médio;2
Monte das Gameleiras (RN);31,43;71,9;2260;Médio;0
Mossoró (RN);123,76;2099,3;259809;Alto;61
Natal (RN);4808,2;167,2;803931;Alto;127
Nísia Floresta (RN);77,26;307,8;23781;Médio;0
Nova Cruz (RN);127,82;277,7;35496;Alto;0
Olho d'Água do Borges (RN);30,42;141,2;4295;Médio;0
Ouro Branco (RN);18,55;253,3;4699;Baixo;0
Paraná (RN);48,56;81,4;3953;Médio;0
Paraú (RN);10,07;383,2;3859;Baixo;0
Parazinho (RN);17,64;274,7;4846;Baixo;0
Parelhas (RN);39,67;513,1;20355;Médio;0
Rio do Fogo (RN);66,94;150,3;10061;Médio;0
Passa e Fica (RN);263,43;42,1;11090;Alto;2
Passagem (RN);70,24;41,2;2894;Médio;0
Patu (RN);37,49;319,1;11963;Médio;0
Santa Maria (RN);21,69;219,6;4763;Baixo;0
Pau dos Ferros (RN);106,73;260;27750;Alto;0
Pedra Grande (RN);15,9;221,4;3520;Baixo;0
Pedra Preta (RN);8,78;295;2590;Baixo;0
Pedro Avelino (RN);7,53;952,8;7175;Baixo;0
Pedro Velho (RN);73,24;192,7;14113;Médio;0
Pendências (RN);32,05;419,1;13432;Médio;0
Pilões (RN);41,76;82,7;3454;Médio;0
Poço Branco (RN);60,54;230,4;13948;Médio;0
Portalegre (RN);66,51;110,1;7323;Médio;0
Porto do Mangue (RN);16,36;319;5219;Baixo;0
Serra Caiada (RN);52,4;167,3;8767;Médio;0
Pureza (RN);16,7;504,3;8422;Baixo;0
Rafael Fernandes (RN);59,98;78,2;4690;Médio;0
Rafael Godeiro (RN);30,61;100,1;3064;Médio;0
Riacho da Cruz (RN);24,88;127,2;3165;Baixo;0
Riacho de Santana (RN);32,44;128,1;4156;Médio;0
Riachuelo (RN);26,88;262,9;7067;Baixo;0
Rodolfo Fernandes (RN);28,53;154,8;4416;Baixo;0
Tibau (RN);21,79;169,2;3687;Baixo;2
Ruy Barbosa (RN);28,58;125,8;3595;Baixo;0
Santa Cruz (RN);57,33;624,4;35797;Médio;0
Santana do Matos (RN);9,73;1419,4;13811;Baixo;0
Santana do Seridó (RN);13,41;188,4;2526;Baixo;0
Santo Antônio (RN);73,79;301,1;22218;Médio;1
São Bento do Norte (RN);10,3;288,7;2974;Baixo;0
São Bento do Trairí (RN);20,46;190,8;3904;Baixo;0
São Fernando (RN);8,41;404,4;3401;Baixo;0
São Francisco do Oeste (RN);51,25;75,6;3875;Médio;0
São Gonçalo do Amarante (RN);351,91;249,1;87661;Alto;10
São João do Sabugi (RN);21,38;277;5922;Baixo;0
São José de Mipibu (RN);137;290,3;39771;Alto;2
São José do Campestre (RN);36,22;341,1;12355;Médio;0
São José do Seridó (RN);24,25;174,5;4232;Baixo;0
São Miguel (RN);129,05;171,7;22158;Alto;0
São Miguel do Gostoso (RN);25,35;342;8670;Baixo;0
São Paulo do Potengi (RN);65,9;240,4;15842;Médio;0
São Pedro (RN);31,94;195,2;6235;Médio;0
São Rafael (RN);17,29;469,1;8111;Baixo;0
São Tomé (RN);12,55;862,6;10826;Baixo;0
São Vicente (RN);30,47;197,8;6027;Médio;0
Senador Elói de Souza (RN);33,63;167,6;5636;Médio;0
Senador Georgino Avelino (RN);151,31;25,9;3919;Alto;0
Serra de São Bento (RN);59,43;96,6;5741;Médio;0
Serra do Mel (RN);16,69;616,5;10289;Baixo;0
Serra Negra do Norte (RN);13,82;562,4;7772;Baixo;0
Serrinha (RN);34,04;193,4;6583;Médio;0
Serrinha dos Pintos (RN);37,02;122,6;4539;Médio;0
Severiano Melo (RN);36,44;157,9;5754;Médio;0
Sítio Novo (RN);23,52;213,5;5022;Baixo;0
Taboleiro Grande (RN);18,67;124,1;2317;Baixo;0
Taipu (RN);33,55;352,8;11836;Médio;0
Tangará (RN);39,72;356,8;14172;Médio;0
Tenente Ananias (RN);44,19;223,7;9885;Médio;0
Tenente Laurentino Cruz (RN);72,68;74,4;5407;Médio;0
Tibau do Sul (RN);111,81;101,8;11382;Alto;0
Timbaúba dos Batistas (RN);16,94;135,5;2295;Baixo;0
Touros (RN);36,99;840,4;31086;Médio;0
Triunfo Potiguar (RN);12,53;268,7;3367;Baixo;0
Umarizal (RN);49,91;213,6;10661;Médio;0
Upanema (RN);14,87;873,9;12995;Baixo;0
Várzea (RN);72,04;72,7;5237;Médio;0
Venha-Ver (RN);53,35;71,6;3820;Médio;0
Vera Cruz (RN);128,43;83,5;10724;Alto;0
Viçosa (RN);42,69;37,9;1618;Médio;0
Vila Flor (RN);60,27;47,7;2875;Médio;0
Água Branca (PB);39,94;236,6;9450;Médio;0
Aguiar (PB);16,04;344,7;5529;Baixo;0
Alagoa Grande (PB);88,84;320,6;28482;Médio;0
Alagoa Nova (PB);160,98;122,3;19688;Alto;0
Alagoinha (PB);139,99;97;13579;Alto;0
Alcantil (PB);17,16;305,4;5241;Baixo;0
Algodão de Jandaíra (PB);10,74;220,2;2365;Baixo;0
Alhandra (PB);98,58;182,7;18011;Médio;0
São João do Rio do Peixe (PB);38,36;474,4;18198;Médio;0
Amparo (PB);17,12;122;2089;Baixo;0
Aparecida (PB);25,96;295,7;7676;Baixo;0
Araçagi (PB);74,51;231,2;17227;Médio;0
Arara (PB);127,66;99,1;12651;Alto;0
Araruna (PB);76,83;245,7;18877;Médio;0
Areia (PB);88,42;269,5;23829;Médio;0
Areia de Baraúnas (PB);20;96,3;1926;Baixo;0
Areial (PB);195,22;33,1;6462;Alto;0
Aroeiras (PB);50,93;374,7;19083;Médio;0
Assunção (PB);27,86;126,4;3522;Baixo;0
Baía da Traição (PB);78,27;102,4;8015;Médio;0
Bananeiras (PB);84,72;257,9;21849;Médio;0
Baraúna (PB);83,43;50,6;4222;Médio;0
Barra de Santana (PB);21,77;376,9;8205;Baixo;0
Barra de Santa Rosa (PB);18,25;775,7;14157;Baixo;0
Barra de São Miguel (PB);9,43;595,2;5613;Baixo;0
Bayeux (PB);3118,76;32;99800;Alto;0
Belém (PB);170,67;100,2;17101;Alto;0
Belém do Brejo do Cruz (PB);11,84;603;7140;Baixo;0
Bernardino Batista (PB);60,74;50,6;3073;Médio;0
Boa Ventura (PB);33,71;170,6;5751;Médio;0
Boa Vista (PB);13,07;476,5;6228;Baixo;0
Bom Jesus (PB);50,39;47,6;2399;Médio;0
Bom Sucesso (PB);27,35;184,1;5035;Baixo;0
Bonito de Santa Fé (PB);47,32;228,3;10803;Médio;0
Boqueirão (PB);45,4;372;16889;Médio;0
Igaracy (PB);32,02;192,3;6157;Médio;3
Borborema (PB);196,74;26;5115;Alto;0
Brejo do Cruz (PB);32,9;398,9;13124;Médio;0
Brejo dos Santos (PB);66,05;93,8;6195;Médio;0
Caaporã (PB);135,6;150,2;20367;Alto;0
Cabaceiras (PB);11,12;452,9;5036;Baixo;0
Cabedelo (PB);1815,57;31,9;57917;Alto;1
Cachoeira dos Índios (PB);49,44;193,1;9547;Médio;0
Cacimba de Areia (PB);16,14;220,4;3557;Baixo;0
Cacimba de Dentro (PB);102,32;163,7;16750;Alto;0
Cacimbas (PB);53,85;126,5;6812;Médio;0
Caiçara (PB);56,44;127,9;7219;Médio;0
Cajazeiras (PB);103,28;565,9;58446;Alto;0
Cajazeirinhas (PB);10,54;287,9;3034;Baixo;0
Caldas Brandão (PB);100,92;55,9;5641;Alto;0
Camalaú (PB);10,57;543,7;5747;Baixo;0
Campina Grande (PB);648,31;594,2;385226;Alto;4
Capim (PB);71,66;78,2;5604;Médio;0
Caraúbas (PB);7,84;497,2;3898;Baixo;0
Carrapateira (PB);43,61;54,5;2377;Médio;0
Casserengue (PB);35,05;201,4;7059;Médio;0
Catingueira (PB);9,09;529,5;4813;Baixo;0
Catolé do Rocha (PB);52,09;552,1;28759;Médio;0
Caturité (PB);38,47;118,1;4543;Médio;0
Conceição (PB);31,69;579,4;18361;Médio;0
Condado (PB);23,44;280,9;6584;Baixo;0
Conde (PB);123,74;172,9;21395;Alto;0
Congo (PB);14,06;333,5;4689;Baixo;0
Coremas (PB);39,92;379,5;15150;Médio;0
Coxixola (PB);10,43;169,9;1772;Baixo;0
Cruz do Espírito Santo (PB);83,12;195,6;16258;Médio;0
Cubati (PB);50,13;137;6868;Médio;0
Cuité (PB);26,93;741,8;19977;Baixo;0
Cuitegi (PB);175,29;39,3;6889;Alto;0
Cuité de Mamanguape (PB);57,19;108,4;6199;Médio;0
Curral de Cima (PB);61,21;85,1;5209;Médio;0
Curral Velho (PB);11,24;223;2507;Baixo;0
Damião (PB);26,39;185,7;4901;Baixo;0
Desterro (PB);44,55;179,4;7992;Médio;0
Vista Serrana (PB);57,24;61,4;3515;Médio;0
Diamante (PB);24,58;269,1;6614;Baixo;0
Dona Inês (PB);63,29;166,2;10519;Médio;0
Duas Estradas (PB);138,53;26,3;3643;Alto;0
Emas (PB);13,77;240,9;3317;Baixo;0
Esperança (PB);189,86;163,8;31099;Alto;0
Fagundes (PB);60,34;189;11404;Médio;0
Frei Martinho (PB);12;244,3;2932;Baixo;0
Gado Bravo (PB);43,53;192,4;8375;Médio;0
Guarabira (PB);333,81;165,7;55312;Alto;0
Gurinhém (PB);40,08;346,1;13872;Médio;0
Gurjão (PB);9,2;343,2;3157;Baixo;0
Ibiara (PB);24,67;244,5;6032;Baixo;0
Imaculada (PB);35,81;317;11352;Médio;0
Ingá (PB);63,13;288;18181;Médio;0
Itabaiana (PB);111,86;218,8;24475;Alto;0
Itaporanga (PB);49,55;468,1;23194;Médio;0
Itapororoca (PB);116,37;146,1;17002;Alto;0
Itatuba (PB);41,77;244,2;10200;Médio;0
Jacaraú (PB);55,1;253;13940;Médio;0
Jericó (PB);42,04;179,3;7538;Médio;0
João Pessoa (PB);3421,3;211,5;723605;Alto;39
Juarez Távora (PB);105,29;70,8;7455;Alto;0
Juazeirinho (PB);35,88;467,5;16774;Médio;0
Junco do Seridó (PB);38,98;170,4;6642;Médio;1
Juripiranga (PB);129,84;78,8;10231;Alto;0
Juru (PB);24,37;403,3;9828;Baixo;0
Lagoa (PB);26,31;177,9;4681;Baixo;0
Lagoa de Dentro (PB);87,21;84,5;7369;Médio;0
Lagoa Seca (PB);240,73;107,6;25903;Alto;0
Lastro (PB);27,67;102,7;2842;Baixo;0
Livramento (PB);27,53;260,2;7163;Baixo;0
Logradouro (PB);103,75;38;3943;Alto;0
Lucena (PB);131,88;88,9;11724;Alto;0
Mãe d'Água (PB);16,49;243,8;4020;Baixo;0
Malta (PB);35,93;156,2;5612;Médio;0
Mamanguape (PB);124,23;340,5;42300;Alto;0
Manaíra (PB);30,52;352,6;10761;Médio;0
Marcação (PB);61,91;122,9;7609;Médio;0
Mari (PB);136,78;154,8;21174;Alto;0
Marizópolis (PB);97,04;63,6;6172;Médio;0
Massaranduba (PB);62,64;206;12904;Médio;0
Mataraca (PB);40,19;184,3;7407;Médio;0
Matinhas (PB);113,34;38,1;4318;Alto;0
Mato Grosso (PB);32,35;83,5;2701;Médio;0
Maturéia (PB);70,97;83,7;5940;Médio;0
Mogeiro (PB);64,41;193,9;12489;Médio;0
Montadas (PB);157,98;31,6;4992;Alto;0
Monte Horebe (PB);38,8;116,2;4509;Médio;0
Monteiro (PB);31,28;986,4;30855;Médio;0
Mulungu (PB);48,48;195,3;9468;Médio;0
Natuba (PB);51,53;205;10564;Médio;0
Nazarezinho (PB);38,02;191,5;7281;Médio;0
Nova Floresta (PB);222,31;47,4;10537;Alto;0
Nova Olinda (PB);72,04;84,3;6073;Médio;0
Nova Palmeira (PB);14,05;310,4;4361;Baixo;0
Olho d'Água (PB);11,63;596,1;6933;Baixo;0
Olivedos (PB);11,41;317,9;3627;Baixo;0
Ouro Velho (PB);22,63;129,4;2928;Baixo;0
Parari (PB);9,78;128,5;1257;Baixo;0
Passagem (PB);19,96;111,9;2234;Baixo;0
Patos (PB);212,82;473,1;100685;Alto;1
Paulista (PB);20,43;576,9;11786;Baixo;0
Pedra Branca (PB);32,95;112,9;3720;Médio;0
Pedra Lavrada (PB);21,26;351,7;7477;Baixo;0
Pedras de Fogo (PB);67,51;400,4;27031;Médio;0
Piancó (PB);27,38;564,7;15461;Baixo;0
Picuí (PB);27,54;661,7;18223;Baixo;0
Pilar (PB);109,29;102,4;11191;Alto;0
Pilões (PB);108,28;64,4;6973;Alto;0
Pilõezinhos (PB);117,42;43,9;5155;Alto;0
Pirpirituba (PB);129,33;79,8;10321;Alto;0
Pitimbu (PB);124,78;136,4;17020;Alto;0
Pocinhos (PB);27,12;628,1;17034;Baixo;0
Poço Dantas (PB);38,57;97,2;3749;Médio;0
Poço de José de Moura (PB);39,4;101;3979;Médio;0
Pombal (PB);36,13;888,8;32112;Médio;0
Prata (PB);20,07;192;3853;Baixo;0
Princesa Isabel (PB);57,84;368;21285;Médio;0
Puxinanã (PB);177,81;72,7;12927;Alto;0
Queimadas (PB);102,17;401,8;41052;Alto;0
Quixaba (PB);10,84;156,7;1699;Baixo;0
Remígio (PB);98,77;178;17581;Médio;0
Pedro Régis (PB);78,37;73,6;5768;Médio;0
Riachão (PB);36,23;90,2;3268;Médio;0
Riachão do Bacamarte (PB);111,13;38,4;4267;Alto;0
Riachão do Poço (PB);104,35;39,9;4164;Alto;0
Riacho de Santo Antônio (PB);18,86;91,3;1722;Baixo;0
Riacho dos Cavalos (PB);31,49;264;8313;Médio;0
Rio Tinto (PB);49,42;464,9;22975;Médio;0
Salgadinho (PB);19,04;184,2;3507;Baixo;0
Salgado de São Félix (PB);59,33;201,9;11979;Médio;0
Santa Cecília (PB);29,22;227,9;6659;Baixo;0
Santa Cruz (PB);30,79;210,2;6472;Médio;0
Santa Helena (PB);25,53;210,3;5369;Baixo;0
Santa Inês (PB);10,91;324,4;3539;Baixo;0
Santa Luzia (PB);32,3;455,7;14719;Médio;0
Santana de Mangueira (PB);13,26;402,2;5333;Baixo;0
Santana dos Garrotes (PB);20,54;353,8;7267;Baixo;0
Joca Claudino (PB);35,33;74;2614;Médio;0
Santa Rita (PB);165,52;726,8;120300;Alto;0
Santa Teresinha (PB);12,8;358;4582;Baixo;0
Santo André (PB);11,72;225,2;2639;Baixo;0
São Bento (PB);124,41;248,2;30879;Alto;0
São Bentinho (PB);21,12;196;4140;Baixo;0
São Domingos do Cariri (PB);11,06;218,8;2420;Baixo;0
São Domingos (PB);16,88;169,1;2854;Baixo;0
São Francisco (PB);35,39;95,1;3366;Médio;0
São João do Cariri (PB);6,65;653,6;4346;Baixo;0
São João do Tigre (PB);5,39;816,1;4399;Baixo;0
São José da Lagoa Tapada (PB);22,13;341,8;7564;Baixo;0
São José de Caiana (PB);34,08;176,3;6008;Médio;0
São José de Espinharas (PB);6,56;725,7;4761;Baixo;0
São José dos Ramos (PB);56,07;98,2;5506;Médio;0
São José de Piranhas (PB);28,19;677,3;19093;Baixo;0
São José de Princesa (PB);26,7;158;4219;Baixo;0
São José do Bonfim (PB);24;134,7;3233;Baixo;0
São José do Brejo do Cruz (PB);6,66;253;1685;Baixo;0
São José do Sabugi (PB);19,38;206,9;4010;Baixo;0
São José dos Cordeiros (PB);9,54;417,7;3985;Baixo;0
São Mamede (PB);14,6;530,7;7748;Baixo;0
São Miguel de Taipu (PB);72,37;92,5;6694;Médio;0
São Sebastião de Lagoa de Roça (PB);221,16;49,9;11036;Alto;0
São Sebastião do Umbuzeiro (PB);7,02;460,6;3233;Baixo;0
Sapé (PB);158,92;315,5;50139;Alto;0
São Vicente do Seridó (PB);37;276,5;10231;Médio;0
Serra Branca (PB);18,89;686,9;12976;Baixo;1
Serra da Raiz (PB);110,17;29,1;3206;Alto;0
Serra Grande (PB);35,64;83,5;2976;Médio;0
Serra Redonda (PB);126,11;55,9;7050;Alto;0
Serraria (PB);95,53;65,3;6238;Médio;0
Sertãozinho (PB);134;32,8;4395;Alto;0
Sobrado (PB);119,42;61,7;7368;Alto;0
Solânea (PB);115,01;232,1;26694;Alto;0
Soledade (PB);24,53;560;13737;Baixo;0
Sossêgo (PB);20,48;154,7;3168;Baixo;0
Sousa (PB);89,1;738,5;65800;Médio;2
Sumé (PB);19,16;838,1;16058;Baixo;0
Tacima (PB);41,6;246,7;10263;Médio;0
Taperoá (PB);22,53;662,9;14935;Baixo;0
Tavares (PB);59,42;237,3;14100;Médio;0
Teixeira (PB);87,96;160,9;14153;Médio;0
Tenório (PB);26,72;105,3;2814;Baixo;0
Triunfo (PB);41,93;219,9;9220;Médio;0
Uiraúna (PB);49,52;294,5;14584;Médio;0
Umbuzeiro (PB);51,28;181,3;9297;Médio;0
Várzea (PB);13,15;190,4;2504;Baixo;0
Vieirópolis (PB);34,37;146,8;5046;Médio;0
Zabelê (PB);18,97;109,4;2075;Baixo;0
Abreu e Lima (PE);724,9;130,3;94454;Alto;0
Afogados da Ingazeira (PE);92,9;377,7;35088;Médio;0
Afrânio (PE);11,8;1490,6;17589;Baixo;0
Agrestina (PE);112,58;201,4;22674;Alto;0
Água Preta (PE);62,05;533,3;33091;Médio;0
Águas Belas (PE);45,41;886;40233;Médio;0
Alagoinha (PE);63,16;217,8;13756;Médio;0
Aliança (PE);137,16;272,8;37417;Alto;1
Altinho (PE);49,18;454,5;22352;Médio;0
Amaraji (PE);93,38;235;21944;Médio;0
Angelim (PE);86,43;118;10199;Médio;0
Araçoiaba (PE);196,74;92,3;18159;Alto;0
Araripina (PE);40,84;1892,6;77294;Médio;0
Arcoverde (PE);196,05;350,9;68794;Alto;0
Barra de Guabiraba (PE);111,44;114,6;12771;Alto;0
Barreiros (PE);174,54;233,4;40738;Alto;0
Belém de Maria (PE);153,96;73,7;11347;Alto;0
Belém do São Francisco (PE);11,06;1830,8;20249;Baixo;0
Belo Jardim (PE);111,83;647,7;72432;Alto;4
Betânia (PE);9,65;1244,1;12006;Baixo;0
Bezerros (PE);119,53;490,8;58665;Alto;0
Bodocó (PE);21,75;1616,5;35159;Baixo;0
Bom Conselho (PE);57,44;792,2;45504;Médio;0
Bom Jardim (PE);173,17;218,4;37820;Alto;0
Bonito (PE);94,96;395,6;37566;Médio;0
Brejão (PE);55,35;159,8;8845;Médio;0
Brejinho (PE);68,76;106,3;7309;Médio;0
Brejo da Madre de Deus (PE);59,26;762,4;45180;Médio;0
Buenos Aires (PE);134,54;93,2;12539;Alto;0
Buíque (PE);38,66;1347,6;52098;Médio;0
Cabo de Santo Agostinho (PE);414,32;446,6;185035;Alto;2
Cabrobó (PE);18,62;1657,9;30870;Baixo;0
Cachoeirinha (PE);104,98;179,3;18823;Alto;0
Caetés (PE);80,66;329,5;26577;Médio;0
Calçado (PE);91,23;121,9;11121;Médio;0
Calumbi (PE);31,5;179,3;5648;Médio;0
Camaragibe (PE);2821,93;51,2;144483;Alto;5
Camocim de São Félix (PE);236;72,5;17110;Alto;0
Camutanga (PE);217,39;37,5;8152;Alto;0
Canhotinho (PE);57,96;423,1;24523;Médio;0
Capoeiras (PE);58,26;336,3;19593;Médio;0
Carnaíba (PE);43,42;427,8;18575;Médio;0
Carnaubeira da Penha (PE);11,73;1004,7;11785;Baixo;0
Carpina (PE);516,51;144,9;74842;Alto;0
Caruaru (PE);342,07;920,6;314910;Alto;3
Casinhas (PE);118,81;115,9;13770;Alto;0
Catende (PE);182,49;207,2;37812;Alto;0
Cedro (PE);62,79;171,6;10775;Médio;0
Chã de Alegria (PE);255,98;48,5;12415;Alto;0
Chã Grande (PE);237,33;84,8;20126;Alto;0
Condado (PE);270,87;89,6;24270;Alto;0
Correntes (PE);53;328,7;17421;Médio;0
Cortês (PE);122,9;101,3;12450;Alto;0
Cumaru (PE);58,8;292,2;17181;Médio;0
Cupira (PE);221,58;105,6;23399;Alto;0
Custódia (PE);24,11;1404,1;33853;Baixo;0
Dormentes (PE);11;1537,6;16914;Baixo;0
Escada (PE);183,07;347;63525;Alto;0
Exu (PE);23,65;1337,5;31632;Baixo;0
Feira Nova (PE);190,96;107,7;20566;Alto;0
Fernando de Noronha (PE);154,55;17;2627;Alto;6
Ferreiros (PE);127,93;89,3;11424;Alto;0
Flores (PE);22,27;995,6;22172;Baixo;0
Floresta (PE);8,04;3644,2;29299;Baixo;0
Frei Miguelinho (PE);67,2;212,7;14293;Médio;0
Gameleira (PE);109,05;256;27917;Alto;0
Garanhuns (PE);282,21;458,6;129422;Alto;0
Glória do Goitá (PE);125,17;231,8;29014;Alto;0
Goiana (PE);150,72;501,9;75646;Alto;2
Granito (PE);13,13;521,9;6853;Baixo;0
Gravatá (PE);151,36;505,1;76452;Alto;0
Iati (PE);28,91;635,1;18361;Baixo;0
Ibimirim (PE);13,79;1954,7;26955;Baixo;0
Ibirajuba (PE);39,74;189,6;7535;Médio;0
Igarassu (PE);333,88;305,6;102034;Alto;0
Iguaracy (PE);14,05;838,1;11775;Baixo;0
Inajá (PE);16,14;1182,5;19086;Baixo;0
Ingazeira (PE);18,45;243,7;4496;Baixo;0
Ipojuca (PE);151,39;532,6;80630;Alto;0
Ipubi (PE);32,64;861,4;28116;Médio;1
Itacuruba (PE);10,16;430;4369;Baixo;0
Itaíba (PE);24,23;1083,7;26258;Baixo;0
Ilha de Itamaracá (PE);328,18;66,7;21890;Alto;0
Itambé (PE);116,13;304,8;35396;Alto;0
Itapetim (PE);34,29;404,8;13881;Médio;0
Itapissuma (PE);320,19;74,2;23758;Alto;0
Itaquitinga (PE);151,73;103,4;15689;Alto;0
Jaboatão dos Guararapes (PE);2493,06;258,6;644705;Alto;19
Jaqueira (PE);131,88;87,2;11500;Alto;0
Jataúba (PE);23,53;672,2;15817;Baixo;0
Jatobá (PE);50,25;277,9;13964;Médio;0
João Alfredo (PE);222,34;138,3;30750;Alto;0
Joaquim Nabuco (PE);129,39;121,9;15773;Alto;0
Jucati (PE);87,92;120,6;10603;Médio;0
Jupi (PE);130,54;105;13707;Alto;0
Jurema (PE);98,08;148,3;14545;Médio;0
Lagoa do Carro (PE);229,77;69,7;16015;Alto;0
Lagoa de Itaenga (PE);360,65;57,3;20665;Alto;0
Lagoa do Ouro (PE);61,04;198,8;12135;Médio;0
Lagoa dos Gatos (PE);70,06;222,9;15616;Médio;0
Lagoa Grande (PE);12,29;1852,3;22765;Baixo;0
Lajedo (PE);193,7;189,1;36629;Alto;0
Limoeiro (PE);202,53;273,7;55432;Alto;0
Macaparana (PE);221,43;108;23914;Alto;0
Machados (PE);226,46;60;13588;Alto;0
Manari (PE);47,43;381,3;18085;Médio;0
Maraial (PE);61,19;199,9;12232;Médio;0
Mirandiba (PE);17,41;821,7;14306;Baixo;0
Moreno (PE);289,16;196,1;56704;Alto;0
Nazaré da Mata (PE);204,95;150,3;30804;Alto;0
Olinda (PE);9068,36;41,7;378151;Alto;13
Orobó (PE);164,99;138,7;22884;Alto;0
Orocó (PE);23,76;554,8;13182;Baixo;0
Ouricuri (PE);26,56;2422,9;64352;Baixo;0
Palmares (PE);175,44;339,3;59527;Alto;1
Palmeirina (PE);51,82;158;8188;Médio;0
Panelas (PE);69,14;370,9;25644;Médio;0
Paranatama (PE);47,65;230,9;11002;Médio;0
Parnamirim (PE);7,79;2595,9;20222;Baixo;0
Passira (PE);87,61;326,8;28631;Médio;0
Paudalho (PE);185,07;277,5;51357;Alto;0
Paulista (PE);3086,01;97,4;300577;Alto;3
Pedra (PE);26,08;803,1;20945;Baixo;0
Pesqueira (PE);63,21;995,5;62926;Médio;0
Petrolândia (PE);30,75;1056,6;32490;Médio;0
Petrolina (PE);64,49;4558,4;293971;Médio;6
Poção (PE);45,56;246,7;11240;Médio;0
Pombos (PE);117,84;204,1;24051;Alto;0
Primavera (PE);121,97;110,2;13441;Alto;0
Quipapá (PE);104,88;230,6;24185;Alto;0
Quixaba (PE);31,98;210,7;6738;Médio;0
Recife (PE);7037,61;218,5;1537718;Alto;196
Riacho das Almas (PE);61,03;314;19163;Médio;0
Ribeirão (PE);154,36;287,9;44440;Alto;0
Rio Formoso (PE);97,39;227,5;22156;Médio;0
Sairé (PE);58,85;191;11240;Médio;0
Salgadinho (PE);104,84;88,8;9310;Alto;0
Salgueiro (PE);33,57;1686,8;56626;Médio;0
Saloá (PE);60,73;252,1;15310;Médio;0
Sanharó (PE);81,71;268,7;21955;Médio;0
Santa Cruz (PE);10,82;1255,9;13589;Baixo;0
Santa Cruz da Baixa Verde (PE);102,39;114,9;11765;Alto;0
Santa Cruz do Capibaribe (PE);261,23;335,3;87590;Alto;0
Santa Filomena (PE);13,3;1005;13367;Baixo;0
Santa Maria da Boa Vista (PE);13,14;3001,2;39436;Baixo;0
Santa Maria do Cambucá (PE);141,31;92,1;13015;Alto;0
Santa Terezinha (PE);56,2;195,6;10993;Médio;0
São Benedito do Sul (PE);86,87;160,5;13943;Médio;0
São Bento do Una (PE);74,03;719,2;53242;Médio;0
São Caitano (PE);92,23;382,5;35278;Médio;0
São João (PE);82,5;258,3;21310;Médio;0
São Joaquim do Monte (PE);88,39;231,8;20489;Médio;0
São José da Coroa Grande (PE);262,19;69,3;18170;Alto;0
