Municipio;Densidade;Area;Populacao;NivelDensidade;CasosCovid19
Sigefredo Pacheco (PI);9,95;967;9622;Baixo;0
Simões (PI);13,23;1071,5;14176;Baixo;0
Simplício Mendes (PI);8,97;1345,8;12072;Baixo;0
Socorro do Piauí (PI);5,94;761,9;4526;Baixo;0
Sussuapara (PI);29,7;209,7;6228;Baixo;0
Tamboril do Piauí (PI);1,73;1587,3;2746;Baixo;0
Tanque do Piauí (PI);6,57;398,7;2619;Baixo;0
Teresina (PI);584,95;1392;814250;Alto;41
União (PI);36,35;1173,4;42653;Médio;0
Uruçuí (PI);2,4;8411,9;20189;Baixo;0
Valença do Piauí (PI);15,23;1334,6;20326;Baixo;0
Várzea Branca (PI);10,9;450,8;4914;Baixo;0
Várzea Grande (PI);18,29;237;4335;Baixo;0
Vera Mendes (PI);8,73;342;2986;Baixo;0
Vila Nova do Piauí (PI);14,09;218,3;3076;Baixo;0
Wall Ferraz (PI);15,85;270;4280;Baixo;0
Abaiara (CE);58,69;178,8;10494;Médio;0
Acarape (CE);95,69;160,3;15339;Médio;0
Acaraú (CE);68,31;842,6;57558;Médio;0
Acopiara (CE);22,7;2253,8;51161;Baixo;0
Aiuaba (CE);6,66;2434,4;16213;Baixo;0
Alcântaras (CE);77,71;138,6;10771;Médio;0
Altaneira (CE);93,54;73,3;6856;Médio;0
Alto Santo (CE);12,22;1338,2;16353;Baixo;0
Amontada (CE);33,27;1179;39225;Médio;0
Antonina do Norte (CE);26,85;260,1;6984;Baixo;0
Apuiarés (CE);25,21;552,3;13923;Baixo;0
Aquiraz (CE);150,5;482,6;72631;Alto;30
Aracati (CE);55,45;1247,3;69163;Médio;0
Aracoiaba (CE);38,67;656,6;25391;Médio;0
Ararendá (CE);30,49;344,1;10492;Médio;0
Araripe (CE);18,81;1099,9;20689;Baixo;0
Aratuba (CE);100,44;114,8;11531;Alto;0
Arneiroz (CE);7,17;1066,4;7646;Baixo;0
Assaré (CE);20,11;1116,3;22449;Baixo;0
Aurora (CE);27,61;889,9;24570;Baixo;0
Baixio (CE);41,15;146,4;6024;Médio;0
Banabuiú (CE);16,03;1080;17312;Baixo;0
Barbalha (CE);92,31;599,3;55321;Médio;0
Barreira (CE);81,25;240,9;19573;Médio;0
Barro (CE);30,22;711,9;21514;Médio;0
Barroquinha (CE);37,76;383,4;14477;Médio;0
Baturité (CE);107,98;308,6;33323;Alto;0
Beberibe (CE);30,37;1623,9;49318;Médio;1
Bela Cruz (CE);37,45;824,4;30874;Médio;0
Boa Viagem (CE);18,51;2836,8;52509;Baixo;0
Brejo Santo (CE);68,12;663,4;45191;Médio;0
Camocim (CE);52,81;1139,2;60161;Médio;0
Campos Sales (CE);24,48;1082,8;26507;Baixo;0
Canindé (CE);23,14;3218,5;74476;Baixo;0
Capistrano (CE);76,67;222,5;17059;Médio;0
Caridade (CE);23,65;846,5;20020;Baixo;0
Cariré (CE);24,24;756,9;18347;Baixo;0
Caririaçu (CE);41,41;637,4;26395;Médio;0
Cariús (CE);17,49;1061,8;18571;Baixo;0
Carnaubal (CE);45,9;364,8;16744;Médio;0
Cascavel (CE);78,99;837,3;66138;Médio;0
Catarina (CE);38,5;486,9;18746;Médio;0
Catunda (CE);12,71;783,2;9954;Baixo;0
Caucaia (CE);265,93;1223,8;325445;Alto;2
Cedro (CE);33,79;725,8;24525;Médio;0
Chaval (CE);52,95;238,2;12613;Médio;0
Choró (CE);15,76;815,8;12857;Baixo;0
Chorozinho (CE);67,94;278,4;18914;Médio;0
Coreaú (CE);28,3;775,8;21955;Baixo;0
Crateús (CE);24,37;2988,3;72825;Baixo;0
Crato (CE);104,87;1157,9;121429;Alto;0
Croatá (CE);24,49;697;17070;Baixo;0
Cruz (CE);67,28;334,1;22478;Médio;0
Deputado Irapuan Pinheiro (CE);19,33;470,4;9093;Baixo;0
Ererê (CE);17,27;396;6839;Baixo;0
Eusébio (CE);582,64;79;46029;Alto;1
Farias Brito (CE);37,74;503,6;19006;Médio;0
Forquilha (CE);42,14;517;21786;Médio;0
Fortaleza (CE);7786,52;314,9;2451975;Alto;1102
Fortim (CE);52,53;282,1;14819;Médio;4
Frecheirinha (CE);71,68;181,2;12988;Médio;0
General Sampaio (CE);33,23;187,1;6217;Médio;0
Graça (CE);53,39;281,9;15051;Médio;0
Granja (CE);19,51;2698,1;52640;Baixo;0
Granjeiro (CE);46,23;100,1;4628;Médio;0
Groaíras (CE);65,59;155,9;10225;Médio;0
Guaiúba (CE);94,83;254;24087;Médio;0
Guaraciaba do Norte (CE);61,78;611,5;37778;Médio;0
Guaramiranga (CE);41,29;100,9;4166;Médio;0
Hidrolândia (CE);20,84;927,4;19327;Baixo;0
Horizonte (CE);344,96;160;55194;Alto;0
Ibaretama (CE);14,73;877,3;12923;Baixo;0
Ibiapina (CE);57,38;414,9;23807;Médio;0
Ibicuitinga (CE);26,72;424,2;11335;Baixo;0
Icapuí (CE);43,43;423,4;18388;Médio;0
Icó (CE);34,97;1872;65464;Médio;2
Iguatu (CE);94,87;1017,1;96492;Médio;0
Independência (CE);7,95;3218,7;25589;Baixo;0
Ipaporanga (CE);16,16;702,1;11346;Baixo;0
Ipaumirim (CE);43,86;273,8;12009;Médio;0
Ipu (CE);64,03;629,3;40294;Médio;0
Ipueiras (CE);25,63;1477,4;37866;Baixo;0
Iracema (CE);16,65;824;13720;Baixo;0
Irauçuba (CE);15,39;1450,7;22326;Baixo;0
Itaiçaba (CE);34,86;209,9;7317;Médio;0
Itaitinga (CE);236,52;151,4;35809;Alto;1
